Unnamed: 0,Crop,N,P,K,pH,rainfall,temperature
10182,barley,70,40,45,5.54,75.32,22.676
16280,sunflower,50,60,30,5.54,297.66,29.56666667
54944,sweetpotato,90,20,120,5.02,689.88,29.03727273
98212,rice,80,40,40,5.66,297.66,29.56666667
52108,soyabean,20,60,20,5.38,1011.49,30.43
26970,jowar,80,40,40,5.52,1246.715,22.6
25754,potato,180,60,90,5.08,1026.64,29.18636364
56970,rice,80,40,40,5.4,840.46,33.58333333
96996,turmeric,25,60,100,4.84,1050.245,18.77818182
85334,jute,80,40,40,5.5,1166.94,28.33333333
78136,rice,80,40,40,5.52,182.5,29.2
53116,turmeric,25,60,100,5.0,1426.3,26.73636364
34975,potato,180,60,90,5.1,1111.68,28.64818182
11386,maize,80,40,20,5.32,1543.76,27.33333333
86852,maize,80,40,20,5.5,98.98,34.92333333
84135,moong,20,40,20,5.56,1220.22,27.26666667
43191,onion,120,60,65,6.14,1603.2375,22.89090909
56641,turmeric,25,60,100,5.1,2169.32,23.73636364
98407,onion,120,60,65,5.94,98.94,25.574
89586,moong,20,40,20,5.6,207.55,26.43333333
43620,cabbage,100,65,70,6.62,1111.68,28.64818182
149,ragi,50,40,20,5.62,654.34,29.26666667
62966,barley,70,40,45,5.5,169.82,14.6
72395,banana,100,75,50,6.58,810.26,29.95636364
66119,rice,80,40,40,5.48,1997.12,27.0
34476,jowar,80,40,40,5.52,1246.715,22.6
63279,maize,80,40,20,5.5,654.34,29.26666667
28012,barley,70,40,45,5.4,73.47,23.562
51485,moong,20,40,20,5.64,199.2125,21.3
31451,rice,80,40,40,5.34,288.3,25.46
80584,onion,120,60,65,6.14,199.2125,21.3
28852,barley,70,40,45,5.46,70.598,18.92
51853,rapeseed,50,40,20,4.98,73.47,23.562
9672,banana,100,75,50,6.36,884.5,27.65454545
47840,onion,120,60,65,6.16,75.32,22.676
14423,jowar,80,40,40,5.64,607.48,26.36666667
49951,wheat,60,30,30,6.9,87.2,23.106
40471,moong,20,40,20,5.36,127.68,20.8
1349,onion,120,60,65,6.14,810.26,29.95636364
40393,rice,80,40,40,5.5,1712.66,11.2
66622,jute,80,40,40,5.52,1011.49,30.43
