Unnamed: 0,Crop,N,P,K,pH,rainfall,temperature
9951,sunflower,50,60,30,5.58,75.32,22.676
19028,coriander,10,20,20,6.48,1026.64,29.18636364
38544,moong,20,40,20,5.6,770.44,28.68
63101,jute,80,40,40,5.38,1166.94,28.33333333
46152,rapeseed,50,40,20,5.14,19.38,22.766
61973,wheat,60,30,30,6.3,145.76,21.66
72608,potato,180,60,90,5.08,664.94,22.03333333
98132,maize,80,40,20,5.66,297.66,29.56666667
98999,sunflower,50,60,30,5.58,34.81,34.66666667
60799,potato,180,60,90,5.0,167.38,23.56
58939,cotton,120,40,20,5.32,1603.2375,22.89090909
8304,rice,80,40,40,5.46,1145.22,28.5
47087,ladyfinger,80,10,40,6.56,942.8,28.99454545
54980,onion,120,60,65,6.14,689.88,29.03727273
93084,wheat,60,30,30,6.11,241.78,1.18
87990,maize,80,40,20,5.54,1246.715,22.6
38803,wheat,60,30,30,6.9,75.32,22.676
25128,sweetpotato,90,20,120,4.88,2169.32,23.73636364
48620,horsegram,20,60,20,6.04,152.54,22.28
75789,soyabean,20,60,20,5.52,510.05,33.37333333
77329,moong,20,40,20,5.66,579.75,34.01
72749,rapeseed,50,40,20,5.06,293.36,14.7
41626,potato,180,60,90,5.18,1299.26,26.51818182
32631,moong,20,40,20,5.66,98.98,34.92333333
40184,soyabean,20,60,20,5.58,654.34,29.26666667
43423,turmeric,25,60,100,4.98,2817.86,27.90909091
22712,moong,20,40,20,5.46,510.05,33.37333333
80549,sunflower,50,60,30,5.38,1246.715,22.6
90527,turmeric,25,60,100,4.98,556.2,28.54545455
16996,maize,80,40,20,5.44,75.32,22.676
39281,maize,80,40,20,5.52,579.75,34.01
31939,rice,80,40,40,5.66,497.88,25.03333333
24098,maize,80,40,20,5.38,75.32,22.676
14938,sweetpotato,90,20,120,5.16,167.38,23.56
20807,rapeseed,50,40,20,4.96,73.47,23.562
85404,moong,20,40,20,5.38,152.54,22.28
7694,rice,80,40,40,5.62,1011.49,30.43
37796,maize,80,40,20,5.56,297.66,29.56666667
82505,jowar,80,40,40,5.32,207.55,26.43333333
49779,onion,120,60,65,5.94,1026.64,29.18636364
156,ragi,50,40,20,5.52,288.3,25.46
38351,banana,100,75,50,6.5,942.8,28.99454545
35615,cauliflower,80,70,50,6.6,1111.68,28.64818182
6831,maize,80,40,20,5.44,199.2125,21.3
34813,mango,20,20,30,4.88,2817.86,27.90909091
9249,barley,70,40,45,5.68,19.38,22.766
94576,rapeseed,50,40,20,4.88,15.34,27.276
84901,potato,180,60,90,4.84,75.32,22.676
11995,moong,20,40,20,5.54,840.46,33.58333333
32181,papaya,50,50,50,6.18,2169.32,23.73636364
92942,maize,80,40,20,5.38,288.3,25.46
16413,coriander,10,20,20,6.46,884.5,27.65454545
33638,soyabean,20,60,20,5.6,664.94,22.03333333
67930,moong,20,40,20,5.44,113.7,30.26666667
94102,onion,120,60,65,6.04,1299.26,26.51818182
2815,moong,20,40,20,5.38,535.78,27.22727273
46789,mango,20,20,30,4.96,884.5,27.65454545
1512,wheat,60,30,30,6.8,293.36,14.7
66465,jowar,80,40,40,5.64,1011.49,30.43
46131,orange,20,10,10,3.94,556.2,28.54545455
17282,potato,180,60,90,4.92,689.88,29.03727273
72755,rice,80,40,40,5.6,516.68,27.86666667
32513,wheat,60,30,30,6.12,87.2,23.106
12235,onion,120,60,65,6.14,1026.64,29.18636364
43863,tomato,100,40,90,5.82,1111.68,28.64818182
5370,cotton,120,40,20,5.36,1543.76,27.33333333
63691,banana,100,75,50,6.38,2169.32,23.73636364
87211,jowar,80,40,40,5.68,790.98,30.61666667
56069,rice,80,40,40,5.4,654.34,29.26666667
65916,sunflower,50,60,30,5.48,199.2125,21.3
57101,wheat,60,30,30,7.0,87.2,23.106
62754,onion,120,60,65,6.02,689.88,29.03727273
54,maize,80,40,20,5.42,654.34,29.26666667
14258,rice,80,40,40,5.44,1011.49,30.43
90871,moong,20,40,20,5.34,884.5,27.65454545
36291,brinjal,80,15,40,6.6,1350.025,26.01818182
62215,jowar,80,40,40,5.42,579.75,34.01
61650,cotton,120,40,20,5.52,297.66,29.56666667
69987,barley,70,40,45,5.44,75.32,22.676
92378,ragi,50,40,20,5.38,1110.78,25.66666667
31167,soyabean,20,60,20,5.58,1166.94,28.33333333
25834,maize,80,40,20,5.6,98.98,34.92333333
44548,jowar,80,40,40,5.6,70.11,25.6
20380,maize,80,40,20,5.64,157.31,25.83333333
76236,sunflower,50,60,30,5.42,884.5,27.65454545
45472,jowar,80,40,40,5.58,1145.22,28.5
33707,rapeseed,50,40,20,4.98,240.1,10.38
1261,maize,80,40,20,5.58,810.26,29.95636364
77100,maize,80,40,20,5.66,579.75,34.01
10632,maize,80,40,20,5.34,34.81,34.66666667
62360,barley,70,40,45,5.44,75.32,22.676
24037,wheat,60,30,30,6.11,75.32,22.676
44236,potato,180,60,90,5.16,1111.68,28.64818182
25908,maize,80,40,20,5.6,87.2,23.106
58845,sunflower,50,60,30,5.54,157.31,25.83333333
92427,garlic,50,10,60,5.68,1411.78,19.94545455
64920,maize,80,40,20,5.32,790.98,30.61666667
73485,maize,80,40,20,5.32,1246.715,22.6
22994,cotton,120,40,20,5.62,297.66,29.56666667
89649,moong,20,40,20,5.42,207.55,26.43333333
407,jute,80,40,40,5.34,1543.76,27.33333333
29748,sweetpotato,90,20,120,5.02,556.2,28.54545455
63591,rice,80,40,40,5.58,1712.66,11.2
51062,ragi,50,40,20,5.64,1246.715,22.6
25661,ragi,50,40,20,5.44,840.46,33.58333333
48220,wheat,60,30,30,6.12,75.32,22.676
68629,cotton,120,40,20,5.48,884.5,27.65454545
94964,wheat,60,30,30,6.3,122.42,18.58
25915,garlic,50,10,60,5.52,1026.64,29.18636364
7625,maize,80,40,20,5.62,1011.49,30.43
7654,maize,80,40,20,5.56,1011.49,30.43
70751,rice,80,40,40,5.66,1712.66,11.2
74254,horsegram,20,60,20,6.08,1011.49,30.43
14755,rice,80,40,40,5.56,235.4251,26.64666667
47468,maize,80,40,20,5.58,75.32,22.676
41772,rice,80,40,40,5.44,1151.02,28.03333333
88677,onion,120,60,65,6.12,1111.68,28.64818182
6422,rapeseed,50,40,20,4.92,41.3,21.704
47290,mango,20,20,30,4.92,942.8,28.99454545
63975,turmeric,25,60,100,4.88,2169.32,23.73636364
22780,wheat,60,30,30,6.1,19.38,22.766
